"filename", "language", "JavaScript", "CSS", "XML", "Excel", "JSON", "comment", "blank", "total"
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Lab\SingleODE\SingleODE.module.css", "CSS", 0, 30, 0, 0, 0, 0, 8, 38
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Reference\Reference.js", "JavaScript", 49, 0, 0, 0, 0, 0, 10, 59
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Reference\Reference.module.css", "CSS", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Economic\Economic.js", "JavaScript", 12, 0, 0, 0, 0, 0, 6, 18
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Economic\Economic.module.css", "CSS", 0, 17, 0, 0, 0, 0, 7, 24
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Environmental\Environmental.js", "JavaScript", 12, 0, 0, 0, 0, 0, 6, 18
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Mes.js", "JavaScript", 24, 0, 0, 0, 0, 3, 11, 38
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Mes.module.css", "CSS", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Social\Social.js", "JavaScript", 12, 0, 0, 0, 0, 0, 6, 18
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\HeatMapForm\HeatMapFormMES.js", "JavaScript", 154, 0, 0, 0, 0, 0, 19, 173
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\HeatMapForm\HeatMapFormMES.module.css", "CSS", 0, 3, 0, 0, 0, 0, 2, 5
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\containers\Sustainability\Mes\Technical\LeftContent\LeftContent.js", "JavaScript", 19, 0, 0, 0, 0, 1, 10, 30
